The Treasure of the Sierra Madre (1948),100,93,193,NR,"Action & Adventure, Classics, Drama, Western",John Huston,John Huston,"Jan 7, 1948 wide","Sep 30, 2003",126 minutes,WARNER BROTHERS PICTURES,
The Babadook (2014),98,72,170,NR,"Drama, Horror, Mystery & Suspense",Jennifer Kent,Jennifer Kent,"Nov 28, 2014 limited","Apr 13, 2015",94 minutes,IFC Films,
The Dark Knight (2008),94,94,188,PG-13 (for intense sequences of violence and some menace),"Action & Adventure, Drama, Science Fiction & Fantasy",Christopher Nolan,"Christopher Nolan, Jonathan Nolan","Jul 18, 2008 wide","Dec 9, 2008","$533,316,061",152 minutes,Warner Bros. Pictures/Legendary
The 39 Steps (1935),96,86,182,NR,"Action & Adventure, Classics, Mystery & Suspense",Alfred Hitchcock,"Alma Reville, Charles Bennett, Ian Hay","Aug 1, 1935 wide","Jun 6, 1935",87 minutes,Gaumont British Distributors,
"Three Billboards Outside Ebbing, Missouri (2017)",90,86,176,"R (for violence, language throughout, and some sexual references)","Comedy, Drama",Martin McDonagh,Martin McDonagh,"Dec 1, 2017 wide","Feb 27, 2018","$52,000,189",115 minutes,Fox Searchlight Pictures
12 Angry Men (Twelve Angry Men) (1957),100,97,197,NR,"Classics, Drama",Sidney Lumet,Reginald Rose,"Apr 13, 1957 limited","Mar 6, 2001",95 minutes,Criterion Collection,
Finding Nemo (2003),99,86,185,G,"Animation, Comedy, Kids & Family","Andrew Stanton, Lee Unkrich","Andrew Stanton, Bob Peterson, David Reynolds","May 30, 2003 wide","May 7, 2013","$380,529,370",100 minutes,Walt Disney Pictures
Captain America: Civil War (2016),91,89,180,"PG-13 (for extended sequences of violence, action and mayhem)","Action & Adventure, Science Fiction & Fantasy","Anthony Russo, Joe Russo","Christopher Markus, Stephen McFeely","May 6, 2016 wide","Sep 13, 2016","$408,080,554",146 minutes,Walt Disney Pictures
Frankenstein (1931),100,87,187,NR,"Classics, Horror, Science Fiction & Fantasy, Special Interest",James Whale,"Francis Edward Faragoh, Garrett Fort, John L. Balderston, Francis Edwards Faragoh, Robert Florey, Garrett Elsden Fort","Nov 21, 1931 wide","Aug 28, 2001",70 minutes,Universal Pictures Company,
Chinatown (1974),99,93,192,R,"Classics, Drama, Mystery & Suspense",Roman Polanski,Robert Towne,"Jan 1, 1974 wide","Nov 23, 1999",130 minutes,Paramount Pictures,
Dr. Strangelove Or How I Learned to Stop Worrying and Love the Bomb (1964),98,94,192,PG,"Classics, Comedy, Science Fiction & Fantasy",Stanley Kubrick,"Stanley Kubrick, Peter George, Terry Southern","Jan 29, 1964 wide","Nov 2, 2004",95 minutes,Sony Pictures,
The Big Sleep (1946),97,91,188,PG,"Classics, Drama, Mystery & Suspense",Howard Hawks,"William Faulkner, Leigh Brackett, Jules Furthman","Aug 31, 1946 limited","Feb 15, 2000",116 minutes,Warner Bros. Pictures,
Kind Hearts and Coronets (1949),100,94,194,NR,"Classics, Comedy, Drama",Robert Hamer,"Robert Hamer, John Dighton","Jun 21, 1949 wide","Sep 10, 2002",104 minutes,Ealing Studios,
Repulsion (1965),98,86,184,NR,"Classics, Drama, Horror, Mystery & Suspense",Roman Polanski,"Roman Polanski, Gérard Brach","Oct 3, 1965 wide","Feb 8, 2005",104 minutes,Royal Films International,
The Wrestler (2008),98,88,186,R (for violence),Drama,Darren Aronofsky,"Robert D. Siegel, Darren Aronofsky","Sep 5, 2008 wide","Apr 21, 2009","$26,136,413",109 minutes,Fox Searchlight Pictures
Finding Dory (2016),94,84,178,PG (for mild thematic elements),Animation,"Andrew Stanton, Angus MacLane","Andrew Stanton, Victoria Strouse","Jun 17, 2016 wide","Nov 15, 2016","$486,292,984",100 minutes,Walt Disney Pictures/PIXAR
